date,pitcher,line,over_price,under_price,game,game_pk,role,expected_innings,bullpen_game,pitching_plan_reported,books,k_rate_season,recent_form_starts,recent_form_bf,bf_per_ip,recent_form_k_rate,recent_form_weight,opp_k_source,opp_lineup_k,opp_lineup_k_weighted,opp_lineup_k_resolved,opp_team_season_k,league_lineup_k,whiff_leverage,actual_k,ou_result,lean,lean_result,projection_raw,calibration_band,k_rate_used,opp_k_adjustment,calibration_bias,error_raw,abs_error_raw,error_corrected,abs_error_corrected,projection
8/7/2026,Merrill Kelly,3.5,-137,118,,,,,,,,,,,,,,,,,,,,,4,O,1.58,W,5.08,<6,,,,-1.08,1.08,-1.08,1.08,5.08
8/7/2026,Robbie Ray,4.5,-130,118,,,,,,,,,,,,,,,,,,,,,2,U,-0.03,,4.47,<6,,,,-2.47,2.47,-2.47,2.47,4.47
8/7/2026,Drew Rasmussen,5.5,-125,106,,,,,,,,,,,,,,,,,,,,,8,O,-0.38,,5.12,<6,,,,2.88,2.88,2.88,2.88,5.12
8/7/2026,Logan Gilbert,6.5,126,-152,,,,,,,,,,,,,,,,,,,,,6,U,-1.76,W,4.74,<6,,,,1.26,1.26,1.26,1.26,4.74
8/7/2026,Keider Montero,3.5,-135,118,,,,,,,,,,,,,,,,,,,,,5,O,-0.25,,3.25,<6,,,,1.75,1.75,1.75,1.75,3.25
8/8/2026,Gage Jump,9.5,120,-165,,,,,,,,,,,,,,,,,,,,,11,O,-2.74,L,6.76,6-7,,,,4.24,4.24,4.24,4.24,6.76
8/8/2026,Sandy Alcantara,8.5,125,-170,,,,,,,,,,,,,,,,,,,,,8,U,-3.71,W,4.79,<6,,,,3.21,3.21,3.21,3.21,4.79
8/8/2026,Aaron Nola,4.5,106,-115,,,,,,,,,,,,,,,,,,,,,8,O,-0.97,L,3.53,<6,,,,4.47,4.47,4.47,4.47,3.53
8/8/2026,Max Scherzer,3.5,-133,108,,,,,,,,,,,,,,,,,,,,,4,O,-1.2,L,2.3,<6,,,,1.7,1.7,1.7,1.7,2.3
8/8/2026,Bubba Chandler,4.5,-110,-108,,,,,,,,,,,,,,,,,,,,,5,O,0.6,,5.1,<6,,,,-0.1,0.1,-0.1,0.1,5.1
8/8/2026,Chase Burns,5.5,-143,120,,,,,,,,,,,,,,,,,,,,,6,O,-0.17,,5.33,<6,,,,0.67,0.67,0.67,0.67,5.33
8/8/2026,Andrew Alvarez,4.5,-120,110,,,,,,,,,,,,,,,,,,,,,2,U,1.97,L,6.47,6-7,,,,-4.47,4.47,-4.47,4.47,6.47
8/8/2026,Seth Lugo,4.5,139,-166,,,,,,,,,,,,,,,,,,,,,5,O,-0.48,,4.02,<6,,,,0.98,0.98,0.98,0.98,4.02
8/8/2026,Taj Bradley,5.5,-151,128,,,,,,,,,,,,,,,,,,,,,7,O,1.09,W,6.59,6-7,,,,0.41,0.41,0.41,0.41,6.59
8/8/2026,Robert Gasser,4.5,100,-107,,,,,,,,,,,,,,,,,,,,,3,U,-1.13,W,3.37,<6,,,,-0.37,0.37,-0.37,0.37,3.37
8/8/2026,Kyle Bradish,5.5,102,-118,,,,,,,,,,,,,,,,,,,,,4,U,0.64,,6.14,6-7,,,,-2.14,2.14,-2.14,2.14,6.14
8/8/2026,Jacob deGrom,7.5,113,-140,,,,,,,,,,,,,,,,,,,,,9,O,0.4,,7.9,>=7,,,,1.1,1.1,1.1,1.1,7.9
8/8/2026,Anthony Kay,4.5,128,-157,,,,,,,,,,,,,,,,,,,,,4,U,-0.69,,3.81,<6,,,,0.19,0.19,0.19,0.19,3.81
8/8/2026,Gavin Williams,7.5,-138,128,,,,,,,,,,,,,,,,,,,,,7,U,3.08,L,10.58,>=7,,,,-3.58,3.58,-3.58,3.58,10.58
8/8/2026,Matthew Liberatore,5.5,120,-141,,,,,,,,,,,,,,,,,,,,,3,U,0.2,,5.7,<6,,,,-2.7,2.7,-2.7,2.7,5.7
8/8/2026,Kyle Freeland,3.5,-105,-106,,,,,,,,,,,,,,,,,,,,,3,U,0.98,L,4.48,<6,,,,-1.48,1.48,-1.48,1.48,4.48
8/8/2026,Landen Roupp,4.5,-156,126,,,,,,,,,,,,,,,,,,,,,3,U,0.2,,4.7,<6,,,,-1.7,1.7,-1.7,1.7,4.7
8/8/2026,Michael King,5.5,138,-155,,,,,,,,,,,,,,,,,,,,,6,O,-0.97,L,4.53,<6,,,,1.47,1.47,1.47,1.47,4.53
8/8/2026,Peter Lambert,5.5,148,-188,,,,,,,,,,,,,,,,,,,,,3,U,-0.49,,5.01,<6,,,,-2.01,2.01,-2.01,2.01,5.01
8/8/2026,Brandon Pfaadt,3.5,-120,103,,,,,,,,,,,,,,,,,,,,,2,U,-0.45,,3.05,<6,,,,-1.05,1.05,-1.05,1.05,3.05
8/8/2026,Yoshinobu Yamamoto,5.5,-106,-119,,,,,,,,,,,,,,,,,,,,,6,O,-0.55,,4.95,<6,,,,1.05,1.05,1.05,1.05,4.95
8/8/2026,George Kirby,4.5,-143,120,,,,,,,,,,,,,,,,,,,,,2,U,-0.44,,4.06,<6,,,,-2.06,2.06,-2.06,2.06,4.06
8/8/2026,Chris Sale,7.5,-172,140,,,,,,,,,,,,,,,,,,,,,8,O,2.62,W,10.12,>=7,,,,-2.12,2.12,-2.12,2.12,10.12
8/8/2026,Gerrit Cole,5.5,-129,130,,,,,,,,,,,,,,,,,,,,,9,O,1.34,W,6.84,6-7,,,,2.16,2.16,2.16,2.16,6.84
8/8/2026,Jake Bennett,4.5,-130,113,,,,,,,,,,,,,,,,,,,,,5,O,0.1,,4.6,<6,,,,0.4,0.4,0.4,0.4,4.6
8/9/2026,Brady Singer,3.5,-115,-105,,,,,,,,,,,,,,,,,,,,,3,U,0.18,,3.68,<6,,,,-0.68,0.68,-0.68,0.68,3.68
8/9/2026,Sean Manaea,10.5,130,-180,,,,,,,,,,,,,,,,,,,,,11,O,-4.25,L,6.25,6-7,,,,4.75,4.75,4.75,4.75,6.25
