date,gamePk,model_version,matchup,away_team,home_team,pick_team,status,winner,home_model_prob,home_pitcher_gap,home_pitcher,home_pitcher_score,away_pitcher,away_pitcher_score,home_era,away_era,home_woba,away_woba,home_bullpen_risk,away_bullpen_risk,home_strength_blend,away_strength_blend,home_woba_gap,home_bullpen_gap,home_pitcher_boost,home_pre_bullpen_odds,home_pre_bullpen_prob,home_bullpen_adj,home_money_line_odds,home_moneyline_prop
8/19/2026,823748,leo,Seattle Mariners @ Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,away team,pass,,0.3096,-13,Dustin May,65,Logan Gilbert,78,2.77,5.4,0.3228,0.2965,45,74,0.4083,0.6256,0.0263,29,0.1423,0.1241,0.1104,0.087,0.4484,0.3096
8/19/2026,824722,leo,Arizona Diamondbacks @ Boston Red Sox,Arizona Diamondbacks,Boston Red Sox,home team,pass,,0.5981,4,Payton Tolle,77,Brandon Pfaadt,73,2.99,4.17,0.3623,0.3367,71,60,0.5156,0.4956,0.0256,-11,1.8221,2.3681,0.7031,-0.033,1.4882,0.5981
8/19/2026,823664,leo,Atlanta Braves @ Minnesota Twins,Atlanta Braves,Minnesota Twins,away team,pass,,0.4329,-2,Taj Bradley,65,AJ Smith-Shawver,67,3.58,4.24,0.3233,0.2924,75,50,0.5302,0.4812,0.0309,-25,0.7408,0.6218,0.3834,-0.075,0.7634,0.4329
8/20/2026,822934,leo,Toronto Blue Jays @ Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,home team,value_watch,,0.742,23,Ian Seymour,69,Shane Bieber,46,4.24,4.08,0.3379,0.3144,81,71,0.5366,0.5224,0.0235,-10,20.0855,63.1026,0.9844,-0.03,2.876,0.742
8/20/2026,824395,leo,San Francisco Giants @ Cleveland Guardians,San Francisco Giants,Cleveland Guardians,home team,value_watch,,0.7044,12,Gavin Williams,73,Landen Roupp,61,3.91,3.81,0.306,0.2646,42,75,0.4499,0.3931,0.0414,33,6.0496,9.02,0.9002,0.099,2.3829,0.7044
8/20/2026,824474,leo,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,away team,watchlist,,0.2799,-12,Brady Singer,56,Michael McGreevy,68,5.27,3.63,0.2713,0.328,70,70,0.572,0.4119,-0.0567,0,0.1653,0.0635,0.0597,0,0.3887,0.2799
8/20/2026,824153,leo,Los Angeles Angels @ Houston Astros,Los Angeles Angels,Houston Astros,home team,watchlist,,0.7378,38,Peter Lambert,73,Grayson Rodriguez,35,3.36,4.26,0.274,0.2612,77,41,0.4484,0.4383,0.0128,-36,20.0855,44.4545,0.978,-0.108,2.8139,0.7378
8/20/2026,824074,leo,Athletics @ Kansas City Royals,Athletics,Kansas City Royals,home team,watchlist,,0.7096,12,Randy Dobnak,68,Gage Jump,56,4.19,4.92,0.3075,0.3113,56,80,0.4896,0.3416,-0.0038,24,6.0496,10.5741,0.9136,0.072,2.4435,0.7096
8/20/2026,824802,leo,New York Yankees @ Baltimore Orioles,New York Yankees,Baltimore Orioles,away team,pass,,0.2995,-11,Kyle Bradish,64,Gerrit Cole,75,4.1,2.83,0.3378,0.2895,64,87,0.5994,0.4805,0.0483,23,0.192,0.1025,0.093,0.069,0.4276,0.2995
8/20/2026,822861,leo,Washington Nationals @ Texas Rangers,Washington Nationals,Texas Rangers,home team,pass,,0.6203,7,Jacob deGrom,70,Andrew Alvarez,63,3.83,3.29,0.2729,0.3257,72,52,0.4279,0.5067,-0.0528,-20,2.8577,3.0323,0.752,-0.06,1.6337,0.6203
8/20/2026,823747,leo,Seattle Mariners @ Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,away team,pass,,0.4474,-4,Robert Gasser,61,George Kirby,65,3.86,5.48,0.3225,0.3008,82,73,0.4338,0.5986,0.0217,-9,0.5488,0.67,0.4012,-0.027,0.8096,0.4474
8/20/2026,824589,leo,Atlanta Braves @ Chicago White Sox,Atlanta Braves,Chicago White Sox,home team,pass,,0.507,0,Anthony Kay,62,Grant Holmes,62,4.17,4.59,0.3322,0.2871,98,60,0.5425,0.5325,0.0451,-38,1,1.1858,0.5425,-0.114,1.0284,0.507
8/21/2026,825045,leo,Cincinnati Reds @ Arizona Diamondbacks,Cincinnati Reds,Arizona Diamondbacks,home team,official_pick,,0.7372,18,Eduardo Rodriguez,73,Nick Lodolo,55,3.84,5.2,0.3327,0.273,71,70,0.5096,0.4307,0.0597,-1,14.8797,38.0625,0.9744,-0.003,2.8052,0.7372
